SCHOOL_NAME,COUNTY_CODE,DISTRICT_CODE,SCHOOL_CODE,COUNTY_NAME,DISTRICT_NAME,FacultyAttendance
Haworth Public School,3,2090,50,BERGEN,HAWORTH BORO,94
Ann Blanche Smith,3,2180,10,BERGEN,HILLSDALE BORO,98
George G White,3,2180,20,BERGEN,HILLSDALE BORO,99
Meadowbrook,3,2180,30,BERGEN,HILLSDALE BORO,98
Ho-Ho-Kus Public School,3,2200,50,BERGEN,HO HO KUS BORO,99
Leonia High School,3,2620,50,BERGEN,LEONIA BORO,98
Leonia Middle School,3,2620,55,BERGEN,LEONIA BORO,98
Anna C. Scott Elementary School,3,2620,60,BERGEN,LEONIA BORO,98
Memorial Elementary School,3,2710,30,BERGEN,LITTLE FERRY BORO,96
Washington Elementary School,3,2710,50,BERGEN,LITTLE FERRY BORO,94
Lodi High School,3,2740,50,BERGEN,LODI BOROUGH,96
Columbus School,3,2740,60,BERGEN,LODI BOROUGH,96
Hilltop School,3,2740,65,BERGEN,LODI BOROUGH,96
Thomas Jefferson Middle School,3,2740,67,BERGEN,LODI BOROUGH,94
Roosevelt School,3,2740,80,BERGEN,LODI BOROUGH,95
Washington School,3,2740,90,BERGEN,LODI BOROUGH,96
Wilson School,3,2740,100,BERGEN,LODI BOROUGH,97
Lyndhurst High School,3,2860,50,BERGEN,LYNDHURST TWP,98
Columbus School,3,2860,60,BERGEN,LYNDHURST TWP,98
Franklin School,3,2860,70,BERGEN,LYNDHURST TWP,98
Jefferson School,3,2860,80,BERGEN,LYNDHURST TWP,97
Lincoln School,3,2860,90,BERGEN,LYNDHURST TWP,97
Roosevelt School,3,2860,110,BERGEN,LYNDHURST TWP,98
Washington School,3,2860,120,BERGEN,LYNDHURST TWP,98
Memorial Campus,3,2860,300,BERGEN,LYNDHURST TWP,97
Mahwah High School,3,2900,50,BERGEN,MAHWAH TWP,97
Betsy Ross Elementary,3,2900,60,BERGEN,MAHWAH TWP,98
Lenape Meadows,3,2900,65,BERGEN,MAHWAH TWP,97
Joyce Kilmer School,3,2900,75,BERGEN,MAHWAH TWP,96
Ramapo Ridge,3,2900,76,BERGEN,MAHWAH TWP,97
George Washington School,3,2900,80,BERGEN,MAHWAH TWP,97
MAYWOOD AVENUE SCHOOL,3,3060,60,BERGEN,MAYWOOD BORO,94
MEMORIAL,3,3060,70,BERGEN,MAYWOOD BORO,94
Midland Park Jr./Sr. High School,3,3170,50,BERGEN,MIDLAND PARK BORO,96
Highland Elementary School,3,3170,70,BERGEN,MIDLAND PARK BORO,95
Godwin Elementary School,3,3170,300,BERGEN,MIDLAND PARK BORO,95
Fieldstone Middle School,3,3330,20,BERGEN,MONTVALE BORO,98
Memorial Elementary School,3,3330,30,BERGEN,MONTVALE BORO,98
Robert L. Craig School,3,3350,60,BERGEN,MOONACHIE BORO,99
NEW MILFORD HIGH SCHOOL,3,3550,50,BERGEN,NEW MILFORD BORO,96
BERKLEY STREET ELEMENTARY SCHOOL,3,3550,60,BERGEN,NEW MILFORD BORO,97
BERTRAND F GIBBS ELEMENTARY SCHOOL,3,3550,70,BERGEN,NEW MILFORD BORO,97
DAVID E. OWENS MIDDLE SCHOOL,3,3550,85,BERGEN,NEW MILFORD BORO,96
North Arlington High School,3,3600,50,BERGEN,NORTH ARLINGTON BORO,95
Jefferson Elementary School,3,3600,60,BERGEN,NORTH ARLINGTON BORO,95
Roosevelt Elementary School,3,3600,70,BERGEN,NORTH ARLINGTON BORO,95
Washington Elementary School,3,3600,80,BERGEN,NORTH ARLINGTON BORO,96
North Arlington Middle School,3,3600,90,BERGEN,NORTH ARLINGTON BORO,95
Northern Highlands Regional High School,3,3700,50,BERGEN,NORTHERN HIGHLANDS REG,98
NORTHERN VALLEY REGIONAL HIGH SCHOOL AT DEMAREST,3,3710,50,BERGEN,NORTHERN VALLEY REGIONAL,96
Northern Valley Regional High School at Old Tappan,3,3710,60,BERGEN,NORTHERN VALLEY REGIONAL,97
Northern Valley Region III,3,3710,300,BERGEN,NORTHERN VALLEY REGIONAL,97
NORTHVALE PUBLIC SCHOOL,3,3730,50,BERGEN,NORTHVALE BORO,95
Norwood Public School,3,3740,20,BERGEN,NORWOOD BORO,98
Dogwood Hill Elementary School,3,3760,40,BERGEN,OAKLAND BORO,98
Heights Elementary School,3,3760,50,BERGEN,OAKLAND BORO,96
Manito Elementary School,3,3760,60,BERGEN,OAKLAND BORO,97
Valley Middle School,3,3760,80,BERGEN,OAKLAND BORO,98
Charles DeWolf Middle School,3,3850,30,BERGEN,OLD TAPPAN BORO,97
T. Baldwin Demarest Elementary School,3,3850,60,BERGEN,OLD TAPPAN BORO,97
Oradell Public School,3,3870,50,BERGEN,ORADELL BORO,98
Palisades Park Jr-Sr High School,3,3910,50,BERGEN,PALISADES PARK,100
Lindbergh Elementary School,3,3910,70,BERGEN,PALISADES PARK,96
Charles R Smith Early Chilhood Center,3,3910,80,BERGEN,PALISADES PARK,97
Paramus High School,3,3930,50,BERGEN,PARAMUS BORO,95
West Brook Middle School,3,3930,60,BERGEN,PARAMUS BORO,90
East Brook Middle School,3,3930,65,BERGEN,PARAMUS BORO,89
Memorial Elementary School,3,3930,80,BERGEN,PARAMUS BORO,95
Midland Elementary School,3,3930,90,BERGEN,PARAMUS BORO,92
Parkway Elementary School,3,3930,100,BERGEN,PARAMUS BORO,91
Ridge Ranch Elementary School,3,3930,110,BERGEN,PARAMUS BORO,92
Stony Lane Elementary School,3,3930,130,BERGEN,PARAMUS BORO,80
Park Ridge High School,3,3940,50,BERGEN,PARK RIDGE BORO,98
East Brook Elementary School,3,3940,60,BERGEN,PARK RIDGE BORO,98
West Ridge Elementary School,3,3940,70,BERGEN,PARK RIDGE BORO,98
PASCACK HILLS HIGH SCHOOL,3,3960,40,BERGEN,PASCACK VALLEY REGIONAL,100
PASCACK VALLEY HIGH SCHOOL,3,3960,50,BERGEN,PASCACK VALLEY REGIONAL,100
INDIAN HILLS HIGH SCHOOL,3,4300,30,BERGEN,RAMAPO-INDIAN HILL REG,96
RAMAPO HIGH SCHOOL,3,4300,50,BERGEN,RAMAPO-INDIAN HILL REG,95
RAMSEY HIGH SCHOOL,3,4310,50,BERGEN,RAMSEY BORO,98
Eric S. Smith Middle School,3,4310,55,BERGEN,RAMSEY BORO,99
John Y Dater Elementary School,3,4310,60,BERGEN,RAMSEY BORO,98
Mary A. Hubbard Elementary School,3,4310,70,BERGEN,RAMSEY BORO,99
Wesley D Tisdale Elementary School,3,4310,80,BERGEN,RAMSEY BORO,98
Ridgefield Memorial High School,3,4370,50,BERGEN,RIDGEFIELD BORO,96
Bergen Boulevard School,3,4370,65,BERGEN,RIDGEFIELD BORO,95
Shaler Academy,3,4370,90,BERGEN,RIDGEFIELD BORO,92
Slocum Skewes School,3,4370,100,BERGEN,RIDGEFIELD BORO,92
Ridgefield Park Jr Sr High School,3,4380,50,BERGEN,RIDGEFIELD PARK TWP,96
Grant Elementary School,3,4380,60,BERGEN,RIDGEFIELD PARK TWP,96
Lincoln Elementary School,3,4380,70,BERGEN,RIDGEFIELD PARK TWP,97
Roosevelt  Elementary School,3,4380,80,BERGEN,RIDGEFIELD PARK TWP,96
Thomas Jefferson Early Learning Center,3,4380,300,BERGEN,RIDGEFIELD PARK TWP,98
Ridgewood High School,3,4390,50,BERGEN,RIDGEWOOD VILLAGE,99
Benjamin Franklin Middle School,3,4390,60,BERGEN,RIDGEWOOD VILLAGE,98
George Washington Middle School,3,4390,70,BERGEN,RIDGEWOOD VILLAGE,100
Glen School,3,4390,80,BERGEN,RIDGEWOOD VILLAGE,99
Hawes Elementary School,3,4390,85,BERGEN,RIDGEWOOD VILLAGE,100
Ridge Elementary School,3,4390,90,BERGEN,RIDGEWOOD VILLAGE,98
Somerville Elementary School,3,4390,100,BERGEN,RIDGEWOOD VILLAGE,98
Travell Elementary School,3,4390,110,BERGEN,RIDGEWOOD VILLAGE,95
Orchard Elementary School,3,4390,120,BERGEN,RIDGEWOOD VILLAGE,97
Willard Elementary School,3,4390,130,BERGEN,RIDGEWOOD VILLAGE,99
River Dell Regional High School,3,4405,50,BERGEN,RIVER DELL REGIONAL,98
River Dell Middle School,3,4405,60,BERGEN,RIVER DELL REGIONAL,97
Cherry Hill School,3,4410,30,BERGEN,RIVER EDGE BORO,10
Roosevelt School,3,4410,50,BERGEN,RIVER EDGE BORO,97
Holdrum Middle School,3,4430,50,BERGEN,RIVER VALE TWP,100
Roberge Elementary School,3,4430,60,BERGEN,RIVER VALE TWP,100
Woodside Elementary School,3,4430,70,BERGEN,RIVER VALE TWP,100
Midland School #1,3,4470,50,BERGEN,ROCHELLE PARK TWP,97
Rutherford High School,3,4600,50,BERGEN,RUTHERFORD BORO,98
Lincoln School,3,4600,70,BERGEN,RUTHERFORD BORO,98
Pierrepont School,3,4600,80,BERGEN,RUTHERFORD BORO,98
Union School,3,4600,100,BERGEN,RUTHERFORD BORO,98
Washington School,3,4600,110,BERGEN,RUTHERFORD BORO,99
SADDLE BROOK MIDDLE/HIGH SCHOOL,3,4610,50,BERGEN,SADDLE BROOK TWP,97
FRANKLIN SCHOOL,3,4610,80,BERGEN,SADDLE BROOK TWP,97
HELEN I. SMITH SCHOOL,3,4610,85,BERGEN,SADDLE BROOK TWP,98
SALOME H. LONG MEMORIAL SCHOOL,3,4610,90,BERGEN,SADDLE BROOK TWP,97
Washington School,3,4610,100,BERGEN,SADDLE BROOK TWP,96
Wandell School,3,4620,50,BERGEN,SADDLE RIVER BORO,97
Memorial School,3,4870,50,BERGEN,SOUTH HACKENSACK TWP,98
Teaneck High School,3,5150,50,BERGEN,TEANECK TWP,95
Benjamin Franklin Middle School,3,5150,60,BERGEN,TEANECK TWP,95
Thomas Jefferson Middle School,3,5150,70,BERGEN,TEANECK TWP,95
William Cullen Bryant School,3,5150,80,BERGEN,TEANECK TWP,96
Nathaniel Hawthorne Elementary School,3,5150,110,BERGEN,TEANECK TWP,95
James Russell Lowell Elementary School,3,5150,130,BERGEN,TEANECK TWP,94
John Greenleaf Whittier Elementary School,3,5150,150,BERGEN,TEANECK TWP,95
TENAFLY HIGH SCHOOL,3,5160,50,BERGEN,TENAFLY BORO,98
J SPENCER SMITH SCHOOL,3,5160,70,BERGEN,TENAFLY BORO,97
MALCOLM S MACKAY SCHOOL,3,5160,80,BERGEN,TENAFLY BORO,98
Ralph S Maugham School,3,5160,90,BERGEN,TENAFLY BORO,97
TENAFLY MIDDLE SCHOOL,3,5160,95,BERGEN,TENAFLY BORO,98
WALTER STILLMAN SCHOOL,3,5160,100,BERGEN,TENAFLY BORO,98
Emil A. Cavallini Middle School,3,5330,50,BERGEN,UPPER SADDLE RIVER BORO,97
Edith A. Bogert Elementary School,3,5330,60,BERGEN,UPPER SADDLE RIVER BORO,98
Robert D Reynolds Primary School,3,5330,70,BERGEN,UPPER SADDLE RIVER BORO,98
Waldwick High School,3,5410,30,BERGEN,WALDWICK BORO,97
Crescent Elementary School,3,5410,40,BERGEN,WALDWICK BORO,97
Julia A Traphagen School,3,5410,50,BERGEN,WALDWICK BORO,98
Waldwick Middle School,3,5410,70,BERGEN,WALDWICK BORO,97
WALLINGTON JUNIOR SENIOR HIGH SCHOOL,3,5430,50,BERGEN,WALLINGTON BORO,96
Frank W. Gavlak Elementary School,3,5430,55,BERGEN,WALLINGTON BORO,97
Jefferson (Annex) Elementary School,3,5430,60,BERGEN,WALLINGTON BORO,98
WESTWOOD JUNIONR/SENIOR HIGH SCHOOL,3,5755,50,BERGEN,WESTWOOD REGIONAL,99
BERKELEY ELEMENTARY,3,5755,60,BERGEN,WESTWOOD REGIONAL,98
Westwood Regional Middle School,3,5755,62,BERGEN,WESTWOOD REGIONAL,98
Jessie F. George Elementary,3,5755,65,BERGEN,WESTWOOD REGIONAL,98
Brookside Elementary School,3,5755,70,BERGEN,WESTWOOD REGIONAL,97
Washington Elementary School,3,5755,80,BERGEN,WESTWOOD REGIONAL,99
